Latitude,Longitude,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2
23.37,71.97,8.2,16640,0,1257,5176,822,26,0.06506720039,1451,152,260,3535,45,1,11149,0
23.27,71.06,7.4,715,0,354,50,18,0.23,0.06506720039,280,56,34,47,11,0.46,479,0
22.376073,71.987684,8.2,7328,0,1135,1546,494,220,0.06506720039,681,72,122,1384,44,5,4910,0
22.296421,71.945626,8.1,2960,0,427,269,798,43,0.06506720039,550,132,54,437,24,0.8,1983,0
22.162375,71.894176,8.2,7338,0,1293,1198,1002,33,0.06506720039,380,32,73,1550,0.27,3.8,4916,0
22.096372,71.893154,8.2,1264,0,500,142,30,49,0.06506720039,170,20,29,225,0.51,2.4,847,0
22.318608,71.69566,8.1,708,0,293,57,30,37,0.06506720039,240,40.08,34,70,0.31,0.73,474,0
22.260329,71.668467,8.2,735,0,403,35,17,11,0.06506720039,310,44,49,45,0.26,0.37,492,0
21.530495,71.359185,7.1,436,0,183,35,38,0.39,0.06506720039,80,24,4.9,68,4.2,0.51,292,0
21.726976,71.382977,8.2,1055,0,390,149,41,12,0.06506720039,220,36,32,157,0.23,0.5,707,0
21.72537,71.461433,7.9,444,0,220,28,19,5.5,0.06506720039,160,40,15,37,1.94,0.4,297,0
21.81105,71.40574,8.1,607,0,305,35,23,5.2,0.06506720039,210,40,27,58,0.9,0.4,407,0
21.906801,71.222832,8,1215,0,244,156,57,174,0.06506720039,510,128,46,63,0.38,0.42,814,0
21.951223,71.206321,8.1,385,0,183,28,16,4.8,0.06506720039,140,24,19,30,1.94,0.4,258,0
21.6555,70.980484,7.8,1306,0,305,199,101,68,0.06506720039,370,60,54,143,0.71,0.22,875,0
21.583441,70.969502,8,1296,0,598,106,41,35,0.06506720039,230,28,39,220,8.05,1.1,868,0
21.476752,70.960818,7.8,3589,0,403,780,260,230,0.06506720039,1101,132,187,357,0.39,0.46,2405,0
21.609747,71.223979,7.4,1280,0,317,199,96,50,0.06506720039,410,100,39,112,1.3,0.14,858,0
21.542967,71.157289,7.6,507,0,195,50,26,18,0.06506720039,160,32,19,50,9.5,0.29,340,0
21.539569,71.165526,7.9,725,0,342,57,28,13,0.06506720039,90,16,12,136,0.67,0.69,486,0
21.414865,71.165137,8.2,580,0,220,71,32,8.8,0.06506720039,200,36,27,52,0.99,0.22,389,0
21.375768,71.113977,7.8,833,0,293,121,30,22,0.06506720039,330,60,44,61,0.3,0.18,558,0
21.389715,71.217799,8.1,1369,0,500,206,36,23,0.06506720039,120,28,12,286,0.68,0.41,917,0
21.388935,71.29323,7.6,1152,0,622,50,35,17,0.06506720039,50,16,2.4,262,2.9,2.25,772,0
21.427712,71.359647,8.1,9343,0,805,2552,560,221,0.06506720039,721,40,151,2008,81,0.84,6260,0
21.328942,71.197764,8,1687,0,293,347,64,135,0.06506720039,490,96,61,188,0.86,0.29,1130,0
21.226835,71.20256,8.2,676,0,342,35,30,16,0.06506720039,270,60,29,47,0.52,0.31,453,0
21.253927,71.145876,7.3,1098,0,488,57,51,90,0.06506720039,450,104,46,65,3.5,0.25,736,0
20.897248,71.2021,8.2,2073,0,451,390,112,85,0.06506720039,390,48,66,341,19,0.83,1389,0
20.861747,71.302268,8.4,2680,24,342,674,27,8.9,0.06506720039,450,132,29,363,12,1,1796,0
20.868281,71.361554,8.2,3374,0,549,645,177,150,0.06506720039,320,40,54,528,210,0.61,2261,0
20.961527,71.431147,8.2,8755,0,256,2567,477,114,0.06506720039,901,64,179.968,1698,6.1,0.27,5866,0
20.974028,71.486826,8.4,3112,36,683,581,154,46,0.06506720039,450,32,90,515,13,0.86,2085,0
20.919667,71.342351,7.7,1390,0,476,156,107,49,0.06506720039,370,72,46,164,7.5,0.27,931,0
21.016512,71.282878,7.5,452,0,171,50,26,0.76,0.06506720039,150,36,15,44,1.5,0.27,303,0
21.146447,71.23811,8.2,698,0,366,35,22,24,0.06506720039,240,48,29,68,0.41,0.26,468,0
21.232187,71.25327,8.2,1408,0,464,142,85,136,0.06506720039,470,92,58,136,1.9,0.28,943,0
21.266366,71.338387,8.2,1275,0,244,177,100,124,0.06506720039,430,52,73,101,0.79,0.21,854,0
21.228019,71.40808,7.7,1324,0,183,234,97,135,0.06506720039,530,104,66,86,0.64,0.23,887,0
21.099438,71.57929,7.9,1976,0,329,376,101,123,0.06506720039,460,68,71,268,3.9,0.59,1324,0
21.379547,71.460227,8.2,1260,0,659,78,20,33,0.06506720039,220,28,36,220,0.37,0.39,844,0
22.69103,73.08475,8.3,1148,36,476,71,76,6.9,0.06506720039,420,40,78,96,1.9,0.93,769,0
22.38454,72.90141,7.9,635,0,342,35,20,0.33,0.06506720039,270,64,27,32,1.3,0.28,425,0
22.35408,72.83599,8.1,1442,0,659,149,25,16,0.06506720039,160,28,22,284,8.5,4.5,966,0
22.28326,72.76283,8.2,3721,0,805,808,154,12,0.06506720039,550,80,85,605,21,3.4,2493,0
22.34061,72.65247,8.2,4565,0,744,1035,262,46,0.06506720039,590,88,90,784,10,1.6,3059,0
22.42085,72.78762,9.2,2488,180,573,262,154,79,0.06506720039,210,12,44,498,0.13,2.2,1667,0
22.53747,72.81231,8.5,1834,36,903,106,38,28,0.06506720039,130,8,27,408,0.56,2.3,1229,0
23.664824,73.171211,7.9,810,0,256,64,90,36,0.06506720039,250,72,17,77,0.49,1.75,543,0
23.682976,73.368317,8,501,0,220,50,15,3,0.06506720039,110,36,4.9,70,0.85,0.51,336,0
23.476337,73.395622,7.4,1427,0,305,227,100,109,0.06506720039,500,144,34,97,11.5,0.46,956,0
23.406389,73.460693,7.5,1509,0,293,256,132,85,0.06506720039,480,144,29,125,0.99,0.63,1011,0
23.371466,73.455574,7.6,807,0,280,64,11,106,0.06506720039,350,76,39,26,0.42,0.72,541,0
23.173384,73.330353,7.9,918,0,366,43,90,18,0.06506720039,330,56,46,58,1.6,0.74,615,0
23.129101,73.215118,7.7,3142,0,268,824,77,125,0.06506720039,820,304,15,398,1.1,0.49,2105,0
23.332365,73.326927,7.8,682,0,122,99,90,38,0.06506720039,220,56,19,60,0.4,0.72,457,0
23.347195,73.19944,7.8,1350,0,366,156,85,74,0.06506720039,520,168,24,69,0.55,0.47,905,0
24.40092,72.647685,7,3275,0,586,709,116,125,0.06506720039,971,140,151,330,3.1,0.78,2194,0
24.528819,71.538582,7.1,825,0,378,78,17,5.3,0.06506720039,300,76,27,40,52,0.64,553,0
24.315154,72.325611,7,620,0,281,50,17,30,0.06506720039,270,80,17,33,1.1,0.42,415,0
24.293518,72.946728,7.1,918,0,390,78,39,33,0.06506720039,330,76,34,81,2,2.1,615,0
24.439293,72.364594,7.1,3494,0,671,709,144,0.96,0.06506720039,861,204,85,335,19,3.5,2341,0
24.344959,72.546526,7.4,810,0,329,57,23,54,0.06506720039,330,76,34,45,1,0.58,543,0
24.486668,72.351128,7.7,2000,0,476,355,137,0.24,0.06506720039,180,28,27,375,4.2,1.6,1340,0
24.656703,71.770809,7.7,1575,0,573,177,107,22,0.06506720039,130,20,19,320,13,1.9,1055,0
24.155737,72.704379,7.2,1488,0,305,262,68,73,0.06506720039,480,156,22,110,3.6,1.3,997,0
24.19947,72.438385,7.5,1579,0,427,248,67,103,0.06506720039,380,76,46,210,0.7,0.8,1058,0
24.178544,72.748301,7.1,1480,0,268,233.97,93,155,0.06506720039,560,188,22,95,2.5,0.39,992,0
24.402684,72.296812,7.5,915,0,403,78,38,19,0.06506720039,160,32,19,158,2.8,2.2,613,0
22.02898,72.764289,7,835,0,354,64,24,15,0.06506720039,250,80,12,60,36,1.5,559,0
21.988148,72.669387,7.9,4492,0,879,908,227,13,0.06506720039,891,96,158,544,113,0.66,3010,0
22.030494,72.610604,8,567,0,268,35,18,1.4,0.06506720039,140,32,15,66,14,0.34,380,0
22.101552,72.5953,7.8,850,0,378,64,31,21,0.06506720039,270,64,27,59,55,0.42,570,0
22.18782,72.591482,7.8,1644,0,512,213,85,61,0.06506720039,500,96,63,133,49,0.19,1101,0
22.195247,72.63669,8.2,2962,0,854,312,157,121,0.06506720039,280,40,44,190,510,0.39,1985,0
22.167157,72.741028,8,735,0,293,85,17,7.2,0.06506720039,260,48,34,55,16,0.45,492,0
21.911477,72.788385,7.6,1739,0,476,326,34,5.8,0.06506720039,530,132,49,131,46,0.36,1165,0
